Lien d'une DB de musiques (khinsider),,,,,,,,,Votants,,,,,,,,,,,,,,,,,,,,,,,
"Hésitez pas à rajouter des musiques, et à noter celles déjà dans le gsheet",,,,,,,,,"(1 si vous êtes cap de la reconnaître en blindtest, 0 sinon)",,,,,,,,,,,,,,,,,,,,,,,
"Mettez en priorité les liens de la page web, les liens de l'audio deviennent rapidemment obsolètes mais on peut les récupérer grâce à la page web",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Licence, nb: 315","Jeu, nb: 541","OST, nb: 1294",Noms Valides pr trouver séparé les noms par /,"Lien page web, nb: 192",,Lien audio,Nb de vote,Vote moyenne connais (1)/connais pas (0),UserA,UserB,UserC,UserD,UserE,UserF,UserG,UserH,UserI,UserJ,UserK,UserL,UserM,UserN,UserO,UserP,UserQ,UserR,UserS,UserT,UserU,UserV,UserW,UserX
Animal Crossing,Animal Crossing : New Horizons,Annonce de Tom Nook,AC/ACNH,,,,11,4,1,1,0,,,0,1,1,,0,1,0,,1,1,,,,,,,,,
Banjo-Kazooie,Banjo-Kazooie,Main theme,,,,https://audio.jukehost.co.uk/UEvt1COEJB4DDsyrK6lf1yirV52FL9T8,7,4,1,0,1,,,,1,0,,,0,,,1,,,,,,,,,,
Celeste,Celeste,Confronting Myself,,,,https://audio.jukehost.co.uk/JMv5zwqgGzjYY9NA8VFsCciW0Adk1Drp,8,4,0,1,1,,,,1,,,,0,,,,,,0,1,,,1,,,
Crypt of the NecroDancer,Crypt of the NecroDancer,Rhythmortis,,,,,5,4,1,0,,,,,1,,,,0,,,,,,1,,,,,,,
Cuphead,Cuphead,Railroad Wrath,,,,https://audio.jukehost.co.uk/4AdoReXXBR6QFFFsuBsExMzCqxIRJNrI,9,4,1,1,,,,,1,1,,,0,0,,0,1,,,,,,,0,,
Dark Souls,Dark Souls 3,Slave Knight Gael,,https://downloads.khinsider.com/game-soundtracks/album/dark-souls-iii-soundtracks/2-19%2520Slave%2520Knight%2520Gael.mp3,,https://vgmtreasurechest.com/soundtracks/dark-souls-iii-soundtracks/pffjgcsi/2-19%20Slave%20Knight%20Gael.mp3,7,4,1,0,,,,,1,0,,,1,,,,1,,0,,,,,,,
Donkey Kong,Donkey Kong Country Returns,Title theme,,,,https://audio.jukehost.co.uk/QsREnyTqP9zSlCAmD1BFdX4ljTTcOX2Q,9,4,1,1,,,,,1,0,,,1,,,,0,,0,,,,1,,0,
Doom,Doom Eternal,The Only Thing They Fear Is You,,,,,7,4,1,1,,,,,1,1,,,0,,,,,,0,,,,,,0,
Elden Ring,Elden Ring,Final Battle Theme,,,,https://audio.jukehost.co.uk/dIBQqye1wuDs7zMFySC9hJtclXkfMpGC,11,4,1,0,0,0,,,1,1,,1,1,0,,,1,,,,,,,,1,
F-Zero,F-Zero,Mute City,,,,,10,4,0,0,,,,1,1,1,,0,0,1,,,1,,,,,,1,,,
Final Fantasy,Final Fantasy VII Remake,The prelude,,,,https://audio.jukehost.co.uk/ZseAMn5Fnb5LdqjyVMTwi0cTdkUYGJTM,5,4,1,0,,,,,1,,,,1,,,,,,0,,,,,,,
Friday Night Funkin,Friday Night Funkin,Bopeebo,,,,,5,4,1,0,,,,,0,1,,,,,,,,,,,,,1,,,
Hades,Hades,No escape,,,,https://audio.jukehost.co.uk/A9VWMhXeVG3h56RfzVIB3dARdI6bwkAO,8,4,1,1,,,,0,1,1,,0,1,0,,,,,,,,,,,,
Hades,Hades,Out of tartarus,,,,https://audio.jukehost.co.uk/pNJcTg95KWC6D03Nybj0AZ2u2ftF811Y,8,4,1,1,,,,0,1,1,,0,1,0,,,,,,,,,,,,
Hades,Hades,The painful way,,,,https://audio.jukehost.co.uk/aYj1xx7KBgN6goHOtFcB2FG1GCDDRO5T,9,4,1,1,,,,0,1,1,,0,1,0,,,,,,,,,,,0,
Half Life,HL2,Hazardous Environments,,,,,11,4,1,0,1,,,1,1,1,,0,0,1,,,,,,,,,1,,0,
Hollow Knight,Hollow Knight,City of tears,,,,,5,4,0,1,,,,,1,,,,1,,,,,,0,,,,,,,
Hollow Knight,Hollow Knight,Soul Sanctum,,,,,5,4,1,0,,,,,1,,,,1,,,,,,0,,,,,,,
Jetpack Joyride,Jetpack Joyride,Main theme,,https://downloads.khinsider.com/game-soundtracks/album/jetpack-joyride-original-game-soundtrack-2021-android-ios/01.%2520Jetpack%2520Joyride%2520Main%2520Theme.mp3,,https://lambda.vgmtreasurechest.com/soundtracks/jetpack-joyride-original-game-soundtrack-2021-android-ios/wpiuczqf/01.%20Jetpack%20Joyride%20Main%20Theme.mp3,14,4,1,0,1,,,1,1,1,1,1,0,1,,,,,0,,,,1,0,0,
Kingdom Hearts,KH 0.2 Birth by Sleep - A fragmentary Passage,Simple and clean Ray of hope,,,,https://audio.jukehost.co.uk/dT2sFUdaqO0t6gZBXzpn5vPU1v1SWIn7,5,4,0,0,,,,,1,,,,1,,,,1,,,,,,,,,
Kingdom Hearts,KH II,Sanctuary,,,,https://audio.jukehost.co.uk/Uz3BB4fZ8FoGMh64gyAuYAxSLCsQarYf,5,4,0,0,,,,,1,,,,1,,,,1,,,,,,,,,
Kirby,Kirby Super Star,King Dedede's Theme,,,,,11,4,1,0,,,,1,1,1,,0,0,1,1,,,,,,,,,1,0,
League of Legends,League of Legends,GET JINXED,,,,,11,4,1,0,0,1,,0,1,1,1,1,0,1,,,,,,,,,,,,
LEGO,LEGO star wars,Cantina,,,,https://audio.jukehost.co.uk/FLIPhKAAiOaSKn2xhrP9IW5LyPtNQArR,8,4,1,0,,,,1,1,1,,,,1,,,,,0,,,,,,0,
Mario et Luigi,Bowser's Inside Story,The Grand Finale,,,,https://audio.jukehost.co.uk/I9lZW3VSyzMSNSon0qqH57pMEm4m2s9K,10,4,1,0,1,,,,1,1,,0,0,1,,,,,,,,,,,0,1
Mario Kart,Mario Kart 8 Deluxe,Circuit Mario,,,,https://audio.jukehost.co.uk/PUP5r3g55LJbCav2FeBsdaPOT64IMSKY,7,4,1,0,,,,0,1,0,,,1,1,,,,,,,,,,,,
Mario Kart,Mario Kart DS,Delfino Square,,,,https://audio.jukehost.co.uk/MBg3DO40ZHJZ5wnMsUt0LsW2PDG6G8v6,8,4,1,0,0,,,1,1,,,,0,1,,,,,,,,,,,,1
Mario Kart,Mario Kart DS,Waluigi Pinball et Wario Stadium,,,,https://audio.jukehost.co.uk/XKtelkJu13b5nKGh6aunb9tDSqFjDEnF,8,4,1,0,1,,,1,1,0,,,0,1,,,,,,,,,,,,
Mario Kart,Mario Kart Wii,Bois Vermeil,,,,,7,4,1,0,1,,,0,1,,,,0,1,,,,,,,,,,,,
Mario Kart,Mario Kart Wii,Circuit Luigi,,,,,7,4,1,0,0,,,0,1,,,,1,1,,,,,,,,,,,,
Mario Kart,Mario Kart Wii,Gorge Champignon,,,,,7,4,1,0,1,,,0,1,,,,0,1,,,,,,,,,,,,
Mario Kart,Mario Kart Wii,Mine Wario,,,,,7,4,1,0,1,,,0,1,,,,0,1,,,,,,,,,,,,
Mario Kart,Mario Kart Wii,Prairie Meuh Meuh,,,,,7,4,1,0,1,,,0,1,,,,0,1,,,,,,,,,,,,
Mario Kart,Mario Kart Wii,Title Screen,,,,,7,4,1,0,0,,,0,1,,,,1,1,,,,,,,,,,,,
Metal Gear,Solid,Encounter,,,,https://audio.jukehost.co.uk/GvaSPY020XsIaJjcKdnCcj15IKHnoPTH,10,4,1,0,,,,1,1,1,,0,0,1,,,,,,,,,1,,0,
Minecraft,Minecraft,13,,,,https://vgmtreasurechest.com/soundtracks/minecraft-gamerip-2011/audugduwgc/1-11.%2013.mp3,7,4,1,0,1,,,1,0,1,,,0,,,,,,,,,,,,,
Minecraft,Minecraft,Key,,,,https://vgmtreasurechest.com/soundtracks/minecraft-gamerip-2011/dosaqaaqzp/1-01.%20Key.mp3,5,4,1,0,1,,,,0,1,,,,,,,,,,,,,,,,
Minecraft,Minecraft,otherside,,,,,9,4,1,0,1,0,,1,1,1,,,0,,,,,,,,,,,,0,
Outer Wilds,Outer Wilds,14.3 Billion years,,,,https://audio.jukehost.co.uk/utjYuVC0yLVpaGT4eHXkugcucU6oNUrA,9,4,0,0,1,,,1,1,1,,1,0,,,,,,,,,,,,0,
Outer Wilds,Outer Wilds,End times,,,,https://lambda.vgmtreasurechest.com/soundtracks/outer-wilds-original-soundtrack/ixnvojdq/10.%20End%20Times.mp3,10,4,0,0,0,1,,1,1,1,1,1,0,,,,,,,,,,,,,
Persona,Persona 3 Reload,Don't,,,,https://audio.jukehost.co.uk/RBHRrIy90owxx1KapBTKKlH4P1rJQ5Vd,5,4,1,0,,,,,1,,,,,,,1,,,0,,,,,,,
Persona,Persona 4,HeartBeat Heartbreak,,,,https://audio.jukehost.co.uk/E83POmbHEHauyIxk0OvNME6xXfO4qAzf,5,4,1,0,,,,,1,,,,,,,1,,,0,,,,,,,
Persona,Persona 4 : Dancing all night,Dance!,Opening theme,https://downloads.khinsider.com/game-soundtracks/album/persona-4-dancing-all-night-the-complete-soundtrack/01.%2520Dance%2521.mp3,,https://jetta.vgmtreasurechest.com/soundtracks/persona-4-dancing-all-night-the-complete-soundtrack/nknkkuse/01.%20Dance%21.mp3,5,4,1,0,,,,,1,,,,,,,1,,,0,,,,,,,
Persona,Persona 5,Aria Of The Soul,,https://downloads.khinsider.com/game-soundtracks/album/persona-5-royal-the-complete-soundtrack/1-08.%2520Aria%2520of%2520the%2520Soul.mp3,,https://lambda.vgmtreasurechest.com/soundtracks/persona-5-royal-the-complete-soundtrack/aaacksim/1-08.%20Aria%20of%20the%20Soul.mp3,9,4,1,0,1,,,0,1,0,,1,0,,,1,,,,,,,,,,
Persona,Persona 5 : Dancing in Starlight,Opening theme,,https://downloads.khinsider.com/game-soundtracks/album/persona-5-dancing-in-starlight-the-complete-soundtrack/01.%2520Groovy%2520%2528OP%2520ver.%2529.mp3,,https://audio.jukehost.co.uk/0W7x46iJvfr1Jcea8p8XeoE1gmuH1lhi,5,4,1,0,,,,,1,,,,,,,1,,,0,,,,,,,
Persona,Persona 5 Strikers,You are stronger,Opening theme,,,,5,4,1,0,,,,,1,,,,,,,1,,,0,,,,,,,
Pokemon,Gen 1,Rocket Hideout,,,,https://audio.jukehost.co.uk/bZT1fNnUgY2UkUPOtuaualqaqIsUM6z5,7,4,1,1,,,,0,1,0,,1,0,,,,,,,,,,,,,
Pokemon,Legends Arceus,Volo,,,,https://audio.jukehost.co.uk/rfByAbzwNVGa1LYg0NEiN4cwpthaRaLj,5,4,0,0,,,,,1,1,,,1,,,,,,,,,,,,,
Portal,Portal,Still alive,,,,https://audio.jukehost.co.uk/upWKz8NL7VWKieX8imsbxr37OZDHbSAY,8,4,0,1,1,,,1,1,1,,0,0,,,,,,,,,,,,,
Rayman,Legends,Mariachi Madness,,,,https://audio.jukehost.co.uk/X9JfAqfz3s4AqtleElsuk4G7ili8QIuI,7,4,1,1,,,,,1,0,,,0,,,,,,0,,,,1,,,
Sea of Thieves,Sea of Thieves,Adventure Awaits,,,,https://audio.jukehost.co.uk/sLu7kQMxI19ov56FyHwrbTXQ5Bjnf83t,7,4,1,1,,,,0,1,1,,,0,,,0,,,,,,,,,,
Sea of Thieves,Sea of Thieves,Ride of the Valkyries,,,,https://audio.jukehost.co.uk/6qIYSRVZD8fUoMn1lDWtWWPiiiVUlvu4,7,4,1,1,,,,0,1,1,,,0,,,,,,,,,,,,0,
Sonic,Sonic 2,Chemical Plant Zone,,,,https://vgmtreasurechest.com/soundtracks/sonic-the-hedgehog-2-anniversary-edition-genesis-shc2020-gamerip/gxpyagjwmb/19.%20Chemical%20Plant%20Zone%20-%20Act%201.mp3,8,4,1,0,0,,,1,1,1,,0,1,,,,,,,,,,,,,
Sonic,Sonic 3,Angel Island Zone,,,,,8,4,0,0,1,,,1,1,1,,0,1,,,,,,,,,,,,,
Super Mario,New Super Mario Bros,Luigi's casino theme,,,,https://audio.jukehost.co.uk/ItV7V6Oi8e6mKVhSK5nWU11SG2Qz4Fvz,5,4,1,0,,,,,1,,,,,,,,,,1,,,0,,,,
Super Mario,New Super Mario Bros. 2,Main Menu,,,,,10,4,1,1,,,,1,1,1,,0,1,,,,,,,0,,,,0,0,
Super Mario,Super Mario 3D Land,Overworld,,,,,7,4,0,1,,,,1,1,0,,0,1,,,,,,,,,,,,,
Super Mario,Super Mario Galaxy,Blue Sky Athletics,,,,https://audio.jukehost.co.uk/a4AfzSZmzBmIzVaA3jWezY3jZ1s9bnhm,5,4,1,1,,,,,1,,,0,,,,,,,0,,,,,,,
Super Mario,Super Mario Galaxy,Comet Observatory,,,,https://audio.jukehost.co.uk/iBgJyzDYegsnMkTwyu4rwUJanOEKCfGX,5,4,1,1,,,,,1,,,0,,,,,,,0,,,,,,,
Super Mario,Super Mario Galaxy,File Select,,,,https://audio.jukehost.co.uk/gvHUbhV9aSVdJgt7LZU2gjaRHCAuTgDK,5,4,1,1,,,,0,1,,,0,,,,,,,,,,,,,,
Super Mario,Super Mario Galaxy,Luma,Story of the Starbits,,,,5,4,1,1,,,,,1,,,0,,,,,,,0,,,,,,,
Super Mario,Super Mario Galaxy,Star Festival,,,,,5,4,1,1,,,,,1,,,0,,,,,,,0,,,,,,,
Super Mario,Super Mario Galaxy,Toad Brigade,,,,https://audio.jukehost.co.uk/n1EaJNeqqJ42ZnP4agBdStsXLK44cjP3,5,4,1,1,,,,,1,,,0,,,,,,,0,,,,,,,
Super Mario,Super Mario Galaxy 2,Lubba,,,,,5,4,1,1,,,,,0,,,0,,,,,,,1,,,,,,,
Super Smash Bros,Melee,Menu,,,,https://audio.jukehost.co.uk/6Y2wty2jyF1JhBZdCzpcOc6LRBWEZ34h,10,4,1,1,,,,0,1,1,,0,0,,1,1,,,,,,,,0,,
Tekken,Tekken 8,Decisive Blow (classic),,,,https://audio.jukehost.co.uk/aQBidyIL0v3Djl1KQoaJvhoPnh4IYwwk,5,4,1,0,,,,,1,,,1,,,,0,,,,,,,,,,
Terraria,Terraria,Eerie,,,,,9,4,1,1,0,,,1,0,1,1,0,0,,,,,,,,,,,,,
Terraria,Terraria,Mushrooms,,,,,7,4,0,1,,,,1,1,1,,0,0,,,,,,,,,,,,,
Terraria,Terraria,Overworld Night,,,,,8,4,1,1,,,,1,1,1,,0,0,,,,,,,,,,,,,0
Terraria,Terraria,The Hallow,,,,,7,4,0,1,,,,1,1,1,,0,0,,,,,,,,,,,,,
Tetris,Tetris 99,Main Theme,,,,,13,4,1,1,,,,1,1,1,1,,1,,1,0,,,0,,,0,,0,0,
The Binding of Isaac,Isaac,Binding of Isaac,,,,,5,4,1,0,,,,,1,1,,,,,,,,,0,,,,,,,
The Sims,Sims 3,Main theme,,,,https://audio.jukehost.co.uk/ISeQIkfq6VYkoiIwiV6bx9xFVfNaNfN3,7,4,1,0,,,,0,1,1,,1,0,,,,,,,,,,,,,
The Sims,Sims 4,Main theme,,,,https://audio.jukehost.co.uk/mfohKxRnA8lF1eOW3rjJfyfIYDDBcXSI,8,4,1,1,,,,0,1,1,,1,0,,,,,,,,,,,,0,
The Witcher,The Witcher 3,Steel for humans,,,,https://audio.jukehost.co.uk/C1zGqW50h8255jO2hNp4pAQqYeBUzGGV,5,4,0,0,,,,,1,,,,1,,,,,,1,,,,,,,
Undertale,Undertale,CORE,,,,https://audio.jukehost.co.uk/JCpn87wKC2YVY5r3XOSdi3nbTBR8KLt5,7,4,0,1,,,,,1,1,,0,0,,1,,,,,,,,,,,
Undertale,Undertale,Finale,,,,https://audio.jukehost.co.uk/ZdvbUtscPqunww9XoFWaw1Uk5Uxzt5z5,7,4,0,1,,,,,1,1,,0,0,,1,,,,,,,,,,,
Undertale,Undertale,Heartache,,,,,10,4,0,1,1,,,0,1,1,1,0,0,,1,,,,,,,,,,,
Undertale,Undertale,Waterfall,,,,,7,4,0,1,,,,,1,1,,0,0,,1,,,,,,,,,,,
Yoshi's Island,Yoshi's Island,Flower Garden,,,,https://audio.jukehost.co.uk/rzU808BePSQ2mtoP0etkJBrADF75bKX6,9,4,1,1,,,,1,1,0,,0,0,,,,,,,1,,,,,0,
Zelda,Link's Awakening,Tal Tal Heights,,,,https://audio.jukehost.co.uk/qkfwDepgj0RYkX2kvE8aK8ywuZwDO3pw,10,4,0,1,1,,,0,1,1,1,0,0,,1,,,,,,,,,,,
Zelda,Ocarina of time,Forest Temple,,,,https://lambda.vgmtreasurechest.com/soundtracks/legend-of-zelda-the-ocarina-of-time-original-sound-track-1998/gtbynwsx/59%20Forest%20Temple.mp3,9,4,0,0,1,,,0,1,1,,0,1,,1,,,,,,,,,,,
Animal Crossing,Animal Crossing : New Leaf,1 P.M.,AC/ACNL,,,https://audio.jukehost.co.uk/6ftZO52GQHpManbHVdVfvqLOAN9BTN7z,11,5,1,1,0,,,0,1,1,,0,0,0,,1,0,,,,,,,,,
Animal Crossing,Animal Crossing : New Leaf,Able Sisters,AC/ACNL,,,https://audio.jukehost.co.uk/xxhj1FzIw7dDnKLvBnOO44CdDTxjO3lv,11,5,1,1,0,,,0,1,1,,0,0,0,,1,0,,,,,,,,,
Animal Crossing,Animal Crossing : Wild World,Nook's Cranny,AC/ACWW,,,https://audio.jukehost.co.uk/4c64cim6wYWylpl9rYgqzypSY927QAgQ,11,5,1,0,1,,,0,1,1,,0,0,0,,1,0,,,,,,,,,
Animal Crossing,Musique de KK,Bubblegum K.K,,,,https://audio.jukehost.co.uk/6ItJY2wqPk2veEZR1AwaijS6ZSwRxtiQ,11,5,1,1,1,,,0,0,1,,0,0,1,,0,0,,,,,,,,,
Animal Crossing,Musique de KK,K.K. Jongara ,,,,https://audio.jukehost.co.uk/wJtRk3VnfauRoReuFv57P9vH9750Olu5,11,5,1,1,0,,,0,1,0,,0,0,1,,0,1,,,,,,,,,
ARK,ARK Survival Evolved,Main Title,,,,,4,5,1,0,,,,,1,,,,,,,0,,,,,,,,,,
Assassin's Creed,Assassin's Creed II,Ezio's Family,,,,https://audio.jukehost.co.uk/hIaAQGdrSFHQDGg56iYXbsU0HC9EdhXN,11,5,0,0,0,,,1,1,1,1,,0,0,,0,1,,,,,,,,,
Astalon,Astalon: Tears of the Earth,Arteries,,https://downloads.khinsider.com/game-soundtracks/album/astalon-tears-of-the-earth-2021/1-16.%2520Arteries.mp3,,,2,5,,,,,,,0,,,1,,,,,,,,,,,,,,
Astalon,Astalon: Tears of the Earth,Hollow (Hate),,https://downloads.khinsider.com/game-soundtracks/album/astalon-tears-of-the-earth-2021/1-07.%2520Hollow%2520%2528Hate%2529.mp3,,,2,5,,,,,,,0,,,1,,,,,,,,,,,,,,
Astalon,Astalon: Tears of the Earth,Poisoned World,,https://downloads.khinsider.com/game-soundtracks/album/astalon-tears-of-the-earth-2021/1-01.%2520Poisoned%2520World.mp3,,,2,5,,,,,,,0,,,1,,,,,,,,,,,,,,
Astalon,Astalon: Tears of the Earth,The Apex,,https://downloads.khinsider.com/game-soundtracks/album/astalon-tears-of-the-earth-2021/1-28.%2520The%2520Apex.mp3,,,2,5,,,,,,,0,,,1,,,,,,,,,,,,,,
Astalon,Astalon: Tears of the Earth,The Cursed Tower,,https://downloads.khinsider.com/game-soundtracks/album/astalon-tears-of-the-earth-2021/1-05.%2520This%2520Cursed%2520Tower.mp3,,,2,5,,,,,,,0,,,1,,,,,,,,,,,,,,
Baldur's gate,Baldur's gate 3,Main Theme Part I,,,,,4,5,,0,0,,,,1,,,,,,,1,,,,,,,,,,
Baldur's gate,Baldur's gate 3,Main Theme Part II,,,,,4,5,,0,0,,,,1,,,,,,,1,,,,,,,,,,
Baldur's gate,Baldur's gate 3,Main Theme Part III,,,,,4,5,,0,0,,,,1,,,,,,,1,,,,,,,,,,
Bopl Battle,Bobl Battle,The bopl,,,,https://audio.jukehost.co.uk/mNrQw6NDFmzeIVkE4QahC8lPmk1EpjYi,8,5,0,0,,,,,1,,,,1,1,,0,0,,,,,,,,1,
Brawlhalla,Brawlhalla,Brawlhaven,,,,,4,5,1,0,,,,,1,,,,,,,0,,,,,,,,,,
Castlevania,Dawn of Sorrow,Bloody Tears,,,,https://audio.jukehost.co.uk/uVhqNJpX7H67TcitbrrYxxtmiqxEkL1t,6,5,1,0,0,,,,1,,,,,,,,1,,0,,,,,,,
Castlevania,Order of Ecclesia,Sorrow's Distorsion,,,,https://audio.jukehost.co.uk/cPEHlrsRdEk6jeKLSTpnPITm6H2eeolp,6,5,1,0,0,,,,1,,,,0,,,,1,,,,,,,,,
Celeste,Celeste,Mirror Temple - Mirror Magic Mix,,,,https://ia803204.us.archive.org/3/items/MirrorTempleMirrorMagicMix/Mirror%20Temple%20%28Mirror%20Magic%20Mix%29.mp3,11,5,0,0,0,,,1,1,1,1,,0,0,,,1,,,,,,1,,,
Civilization,Civilization IV,Baba Yetu,Main Theme,,,,12,5,0,1,1,,1,0,1,1,1,,0,0,,,0,,,,,,,,0,
Deep Rock Galactic,Deep Rock Galactic,Attack of the Glyphids,,,,https://nu.vgmtreasurechest.com/soundtracks/deep-rock-galactic-original-soundtrack-volume-i/cqtxfibh/02%20-%20Attack%20of%20the%20Glyphids.mp3,2,5,,,1,,,,0,,,,,,,,,,,,,,,,,
Deltarune,Deltarune,Attack of the killer queen,,,,https://audio.jukehost.co.uk/uwQ4P4nkS16qaq19FYy5CqYPfue3vIvH,12,5,1,1,0,0,,0,1,1,1,0,0,1,,,0,,,,,,,,,
Deltarune,Deltarune,BIG SHOT,,,,https://audio.jukehost.co.uk/7xfeuaqLsYWxceBwgqRIHdc9EJdOtn52,12,5,0,1,0,,,0,1,1,1,0,0,1,,,0,,,1,,,,,,
Deltarune,Deltarune,Chaos King,,,,https://audio.jukehost.co.uk/kgNzsYrzSG9aRtW4qV9NpCnKNOlzwEz9,6,5,0,1,,,,,1,,,,0,,,,,,0,1,,,,,,
Deltarune,Deltarune,Field of hopes and Dreams,,,,https://audio.jukehost.co.uk/f6tR1kqbinpgc4qACyJIsmNIfqsP3SC9,11,5,0,1,0,,,0,1,1,1,0,0,1,,,0,,,,,,,,,
Deltarune,Deltarune,The world revolving,,,,https://audio.jukehost.co.uk/Jiiwa9Ioql5VlkfwmnRlFlM3tTYe7yIx,6,5,0,1,,,,,1,,,,0,1,,,0,,,,,,,,,
Donkey Kong,Donkey Konga,Song select,,,,https://audio.jukehost.co.uk/cPmVFOeGRUmSWPkxE8pGMTMu0H2O20UO,8,5,1,1,,,,,1,0,,,0,,,,,,1,0,,,,,0,
Dragon Age,Dragon Age Inquisition,The dawn will come,,https://downloads.khinsider.com/game-soundtracks/album/dragon-age-inquisition-ost/11.%2520The%2520Dawn%2520Will%2520Come.mp3,,,2,5,,,,,,,0,,,1,,,,,,,,,,,,,,
DuckTales,DuckTales,The Moon,Moon,,,https://audio.jukehost.co.uk/QhL5M2rsM6vze8G7fs2MwhXMJEv72St8,11,5,1,1,1,,,0,1,0,,0,0,1,,0,0,,,,,,,,,
Elden Ring,Elden Ring,Main Theme,,,,https://audio.jukehost.co.uk/5Me5HgDy8GHUc4lxFdfFz5rEb9VYYpCy,11,5,1,0,0,0,,1,1,0,,1,1,0,,,1,,,,,,,,,
Friday Night Funkin,Friday Night Funkin,Dad Battle,,,,,4,5,1,0,,,,,0,1,,,,,,,,,,,,,,,,
Friday Night Funkin,Friday Night Funkin,Fresh,,,,,4,5,1,0,,,,,0,1,,,,,,,,,,,,,,,,
Halo,Halo,Theme,,,,https://audio.jukehost.co.uk/hfkknjVJTy87cs5dwoJdpCHB9a3c2A1q,10,5,1,0,,,,1,1,0,,0,0,1,,1,,,,,,,,,0,
Harry Potter,Harry Potter and the Philosopher's Stone,Battle,Harry Potter 1 GBC,,,https://www.youtube.com/watch?v=CFKgmZC0o_E&list=PLFF188C45BD627028&index=5,2,5,,,,,,,0,,,1,,,,,,,,,,,,,,
Harry Potter,Harry Potter and the Philosopher's Stone,Boss Battle,Harry Potter 1 GBC,,,https://www.youtube.com/watch?v=_V9MlehRXag&list=PLFF188C45BD627028&index=6,2,5,,,,,,,0,,,1,,,,,,,,,,,,,,
Harry Potter,Harry Potter and the Philosopher's Stone,Forbidden Corridor,Harry Potter 1 GBC,,,https://www.youtube.com/watch?v=1nlxzxnE2CE&list=PLFF188C45BD627028&index=4,2,5,,,,,,,0,,,1,,,,,,,,,,,,,,
Harry Potter,Harry Potter and the Philosopher's Stone,Hogwarts,Harry Potter 1 GBC,,,https://www.youtube.com/watch?v=TgQFTVsBjjY&list=PLFF188C45BD627028&index=12,2,5,,,,,,,0,,,1,,,,,,,,,,,,,,
Harry Potter,Harry Potter and the Philosopher's Stone,Hogwarts Grounds,Harry Potter 1 GBC,,,https://www.youtube.com/watch?v=U4mQX_3synQ&list=PLFF188C45BD627028&index=16,2,5,,,,,,,0,,,1,,,,,,,,,,,,,,
Harry Potter,Harry Potter and the Philosopher's Stone,Main Theme,Harry Potter 1 GBC,,,https://www.youtube.com/watch?v=mdLrUo_O52E&list=PLFF188C45BD627028,2,5,,,,,,,0,,,1,,,,,,,,,,,,,,
Henry Stickmin,Henry Stickmin : Completing the mission,Theme,,,,https://lambda.vgmtreasurechest.com/soundtracks/the-henry-stickmin-collection-gamerip/ppnfqfohon/Completing%20The%20Mission%20-%20Theme.mp3,2,5,,,,,,,0,,,1,,,,,,,,,,,,,,
Henry Stickmin,Henry Stickmin : Escaping the prison,Theme,,,,https://lambda.vgmtreasurechest.com/soundtracks/the-henry-stickmin-collection-gamerip/ynimsavfhh/Escaping%20The%20Prison%20-%20Theme.mp3,2,5,,,,,,,0,,,1,,,,,,,,,,,,,,
Henry Stickmin,Henry Stickmin : Fleeing the complex,Theme,,,,https://nu.vgmtreasurechest.com/soundtracks/fleeing-the-complex-online-gamerip-2016/wgtxhtwb/1.%20Main%20Menu%20-%20sound%20321%20%28over%20to%20down%20%29.mp3,2,5,,,,,,,0,,,1,,,,,,,,,,,,,,
Henry Stickmin,Henry Stickmin : Infiltrating the airship,Theme,,,,https://lambda.vgmtreasurechest.com/soundtracks/the-henry-stickmin-collection-gamerip/dfnyqbtvne/Infiltrating%20The%20Airship%20-%20Theme.mp3,2,5,,,,,,,0,,,1,,,,,,,,,,,,,,
Henry Stickmin,Henry Stickmin Collection,Main Menu Theme,,,,https://lambda.vgmtreasurechest.com/soundtracks/the-henry-stickmin-collection-gamerip/aiwhjixduo/Title%20Theme.mp3,2,5,,,,,,,0,,,1,,,,,,,,,,,,,,
Hollow Knight,Hollow Knight,Crystal Peak,,,,,6,5,0,0,,,,,1,1,,,1,,,,,,0,,,,,,,
Hollow Knight,Hollow Knight,False Knight,,,,,6,5,0,0,,,,,1,1,,,1,,,,,,0,,,,,,,
Hollow Knight,Hollow Knight,Fungal Wastes,,,,,6,5,0,0,,,,,1,1,,,1,,,,,,0,,,,,,,
Hollow Knight,Hollow Knight,Gods and Glory,,,,https://audio.jukehost.co.uk/tUczzwo4CHp4lvwWOeltgLN6b0dDFd5t,8,5,0,0,,,,0,1,1,,1,1,0,,,,,,,,,,,,
Hollow Knight,Hollow Knight,Hornet,,,,,6,5,0,0,,,,,1,1,,,1,,,,,,0,,,,,,,
Hollow Knight,Hollow Knight,Reflection,,,,,6,5,0,0,,,,,1,1,,,1,,,,,,0,,,,,,,
League of Legends,League of Legends,Jhin,,,,https://audio.jukehost.co.uk/enDlwqgQPpuIfatf1zwKA040m9vjW8hV,8,5,0,0,,,,0,1,1,,1,0,1,,,,,,,,,,,,
League of Legends,League of Legends,Old Champion Select,,,,,10,5,1,0,0,1,,0,0,1,,1,0,1,,,,,,,,,,,,
League of Legends,League of Legends,Swain theme,,,,https://audio.jukehost.co.uk/5umdLSkzicay2usVz3u4eWNZRd1TEyCF,11,5,0,0,0,1,,0,0,1,1,1,0,1,,,,,,,,,,,,
